Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Dec-20,Dec-21,YTD 2020,YTD 2021,,Carl Sandburg Home NHS,"3,225","3,225",0,"42,672","48,527","5,855", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Carlsbad Caverns NP,"16,868","29,575","12,707","183,835","349,244","165,409", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Carter G. Woodson Home NHS,0,0,0,548,0,-548, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Casa Grande Ruins NM,"3,844","5,107","1,263","44,269","49,261","4,992", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Castillo de San Marcos NM,"23,633","57,576","33,943","251,061","498,623","247,562", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Castle Clinton NM,"36,856","243,192","206,336","633,793","1,665,660","1,031,867", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Catoctin Mountain Park,"27,468","20,942","-6,526","539,983","520,339","-19,644", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cedar Breaks NM,"24,134","23,256",-878,"845,867","772,886","-72,981", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Cesar E. Chavez NM,150,696,546,"5,668","9,164","3,496", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chaco Culture NHP,267,267,0,"8,231","31,185","22,954", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chamizal NMEM,912,912,0,"19,180","14,193","-4,987", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Channel Islands NP,"3,011","13,708","10,697","167,290","280,138","112,848", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Charles Pinckney NHS,"2,025",880,"-1,145","23,723","24,854","1,131", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Charles Young Buffalo Soldiers NM,340,102,-238,"2,461","8,110","5,649", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chattahoochee River NRA,"214,881","218,281","3,400","3,066,877","3,256,153","189,276", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chesapeake & Ohio Canal NHP,"347,004","346,151",-853,"4,888,436","4,986,914","98,478", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chickamauga & Chattanooga NMP,"63,562","67,712","4,150","678,414","945,390","266,976", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chickasaw NRA,"51,113","13,813","-37,300","1,348,122","1,496,582","148,460", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Chiricahua NM,"4,333","4,155",-178,"44,794","53,414","8,620", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
